l1_height,l1_heat,l1_width,l2_height,l2_heat,l2_width,l3_heat,l3_width,creep_rupture_time,iter
2.9942257352430257,1385.624171747258,4.843992333615619,2.39611466296382,1163.9434049850595,2.511344574480332,1693.7875436280176,4.455345555947906,420.001,1
2.9793819606754237,1521.174075226149,4.071434468463144,2.8856921235286124,1277.4622540095006,2.049932089091349,2104.7020031114816,4.353371285117392,350.001,1
2.431507164152388,2178.093681952524,3.105607678831924,2.3644479204442987,1163.864414735785,3.759664344208873,1060.2904036329403,3.0175192190543787,360.001,1
2.3921986957940438,1362.7940736529383,4.4373178452065165,2.51779577285916,1411.28436275713,2.2798548212852383,1459.9697506629936,3.1046659419260987,430.001,1
2.193429335685017,1219.2349226692618,3.4819535526137644,2.0023742340898245,1384.8255313270545,3.53541860573703,1173.241919134079,2.664254102815072,500.001,2
3.079955023354911,1714.9076382175767,4.399664404216656,2.1171664601960685,2105.054324736896,3.594812881785781,1737.653905649751,4.362630760378436,380.001,2
3.098111112992652,1996.8270144487287,4.83485869555136,2.295099818067333,1209.639208909951,3.254010883543401,1787.8631876471495,2.926620919722231,360.001,2
2.278237158942047,1335.7441995915951,2.001366776713183,2.7797324622391795,1169.662874960817,4.940573669855999,1805.096560365512,3.952976983904371,380.001,2
2.5047378187705256,1089.3101724876792,2.3669081776789453,2.846610599071986,1589.128249530199,2.741687182448335,1323.389690653099,4.983496029076822,560.001,3
2.0414972837054064,1178.1137166589606,2.076804810602587,3.104801074801683,1394.071486366915,3.727556507272885,1608.5556955784505,2.206966340892115,210.001,3
2.2448095533378303,2166.918450340552,4.080874429987246,2.5248870186134678,1156.690543514643,2.07866894753025,1065.4816534761014,4.63632504193478,430.001,3
2.0174093527849464,2113.548781394846,4.10343272105221,3.0510314984128977,1350.3604480275435,3.6573112747152265,2150.0806459998703,3.650174831433546,130.001,3
2.303051469862939,1333.4611930524145,2.7297581957090538,3.15420759090642,1153.585246561931,2.110810028005056,1811.339886407974,2.8118106907981595,180.001,4
2.658291053503362,1124.2155624459533,4.656736155868846,2.463852251982185,1594.6203874440969,4.647115539424811,1976.7416133921377,2.579361602066604,140.001,4
2.433411610738633,1275.898570265924,4.722271328115145,2.853240878745276,1579.4362415146345,3.569809569698872,1477.069627133253,4.057888305163495,520.001,4
2.3934143001010453,1003.8704298810638,2.876752664166423,2.011543297128402,1398.022831889481,2.706556571256592,1786.1855450603414,2.9110789172498617,150.001,4
2.306454042558557,1801.8966876861627,3.4923544681593306,2.478074539124401,1399.8903573499597,4.412468168318485,1003.8652951361872,4.902735087973154,310.001,5
2.772147233811367,1756.3919891016417,2.901912075276908,2.977914904884084,1428.6425090616613,2.445750019001297,2083.786230950215,2.298376135023414,110.001,5
2.48066292932518,1229.8674618913783,3.3111098360390314,2.7343985641761983,1156.7635547961422,4.263539334998782,1531.745384547823,3.388758525454348,320.001,5
2.8492885576376006,1972.929901602031,2.8838553972912893,2.905611074600392,1680.4683078107598,4.118729296818627,1899.8112972647316,2.8256704385808105,230.001,5
2.968098818581621,1153.4750443349922,4.860707357382452,2.36471663294085,1871.819585452699,2.1136999966144856,1875.3890187860895,2.447829831754972,120.001,6
2.3427924798156976,1384.0462562041216,4.550951608079519,2.608242718843491,1158.3265369393216,2.474428297858641,1693.585360012448,4.559464996046994,440.001,6
2.572989695921786,1102.4516440820355,2.176004901637657,2.8342024978007947,1388.331891196476,2.52273494610268,1870.057841890924,4.917386554866659,420.001,6
2.6663583082512528,2157.9587124731806,4.813004350340276,2.3723823889551574,1768.8986320721842,3.1946221433968383,1884.439138120354,4.939359828221898,380.001,6
2.614156394867009,1288.884824251253,3.032666699821947,2.9343781010779058,2157.144310448445,4.736258290146113,1623.689338801953,2.596972389675284,390.001,7
2.2820390660687147,1668.5287832319443,4.202787162462901,2.354387677394647,1842.153056296338,3.6278084383314697,1191.4026317502332,2.624861276452608,490.001,7
3.090106285148408,1594.751373155643,4.048249023460237,2.966326887098081,1392.433634366202,2.186544026045476,1201.171053141474,3.7024277084985706,560.001,7
3.164551966919671,1223.616679455566,4.832318603745083,2.365461843508888,1402.4234547039168,3.6732928131642426,1619.2325452918583,4.376925883510638,410.001,7
2.152181564976742,1185.8426929807774,3.0847250978466985,2.1042617051133945,1250.59018764236,2.3600399214777115,2078.6941121101254,2.792162816678455,170.001,8
2.985640338449823,1964.591329920227,2.425691443599754,2.044385422440455,1124.580978811695,4.324098696541986,1263.8514601831605,3.935724350831492,400.001,8
2.4876052215497437,1366.968677585765,4.749466954222881,2.2418491658964035,1244.5732339202896,3.196940180671344,1057.3320116982518,2.880625246078713,530.001,8
2.107998636606337,1528.2518769248068,3.6833274302526906,3.053557988985021,1681.77774896357,2.151724898633193,2144.283173559352,2.3198078720144157,120.001,8
2.7113874310672976,1989.65046300904,3.699394637815933,2.148890863374774,1718.2246429553115,2.893048954889069,1044.3114446746874,2.6013318842793844,490.001,9
2.0340297380151844,1995.3861543984265,3.7710235456819072,2.64000341378127,1602.766046981808,3.773968909961768,1204.7343084457289,2.7697576174352543,460.001,9
2.7010739659395275,1841.4814444870556,3.221532548567644,2.3824493765644816,1546.298008300481,3.7579905592792335,1710.0065208475985,3.021473070547225,270.001,9
2.272854905430936,1561.4888828993758,4.480915135570462,3.1545422714136304,1396.486706728281,3.216982251811264,1934.538187542256,3.763559006435253,210.001,9
2.564967339860033,1075.652034481859,3.816117584026112,2.9224109615728437,1304.699086582875,4.644473607134893,1407.2093397817475,3.534367436035683,410.001,10
2.4782907565472576,1367.9387515260826,4.016392204067059,2.071848063379036,1682.03101130577,4.110292121274896,1199.473653056906,4.126559752336332,560.001,10
2.756832640925316,1714.1422028361949,3.9718846701650734,2.6872839733831757,1370.149156216852,2.282674505353282,1002.0220253643748,4.521341919896261,570.001,10
2.459600660728493,1420.1448560175747,3.4478092332906742,3.132439048770564,1193.0904935500305,2.672662899496771,1026.5553505948772,4.8594613629407295,600.001,10
2.405646012790705,1030.0923925767895,4.599182019282823,2.3509914153491347,1876.6949962506487,2.1898322156820456,1419.5900098658535,4.404892364637382,550.001,11
2.032267937168579,1597.0162656614068,4.632099649770886,3.1287248181574787,2074.7564614907023,3.711663398379324,2033.8138109543493,4.102746171777755,290.001,11
2.544163417868427,1725.482910831135,3.173301175270309,2.96805679671923,2047.99830266414,3.7912961879169385,1624.238308308982,4.727706929979774,470.001,11
2.723245871751842,1418.4978476461747,4.314559228549491,2.3928953137617066,1619.456322352216,2.7775774535593536,1851.0789960785128,2.859483227403872,120.001,11
2.06306342744703,2137.8536986285417,3.5863815349303003,2.84373346507535,1599.6074734795284,4.0051624255258,1737.2352651162623,4.660158694894909,390.001,12
2.7878175088389208,1004.9588599511044,3.168185693869729,2.6326576231879004,1412.3946549972593,4.8569823573033535,1662.3412331408367,3.3249988369797725,360.001,12
2.215289196222387,1297.0964262808031,2.801551101072989,3.1709203186249084,1973.282198845097,3.4325104370049644,1679.8988226432173,2.822493549295058,350.001,12
2.745761941979897,1514.0338377033806,4.328112901634844,3.04832572615198,1726.4213098043922,4.804167448934008,1252.8220367149293,3.4526983223128243,510.001,12
