l1_height,l1_heat,l1_width,l2_height,l2_heat,l2_width,l3_heat,l3_width,creep_rupture_time,iter,jitter
3.1540113579094022,1727.8541923980642,2.6312900192820274,3.063807208698247,1955.6928823953365,3.2010496958461245,1465.9040389103056,2.7950095557825825,350.001,1,0.001
2.299381342738549,1525.985852335084,2.84278886849121,2.1960242683201368,1354.2313498859403,4.159605185605539,1590.5539223002345,2.797520442596813,350.001,2,0.001
2.8783936905209666,2036.264189327213,2.0361679532206427,2.8951477742072043,1240.3819613872786,3.2268989298839528,1530.5537339048824,3.3802252518723708,380.001,3,0.001
2.526119760422347,2016.47297755706,2.7753994484940985,2.028506431069098,1259.377044518596,2.135713821529471,1004.6456040833292,2.0387443069615534,370.001,4,0.001
3.0249469212008364,1804.1924166278584,2.8589598410038137,2.561574604052657,1793.8081773225745,4.316760719401598,1803.587241421184,3.3409793265910466,300.001,5,0.001
2.739841134109192,1427.9608982177656,2.000304752878173,2.233936453249762,1285.730686600939,2.133996533863513,1528.0380680866372,3.142042589338163,390.001,6,0.001
2.482667947236464,2111.0191557087846,3.805663886498244,2.011995171286511,1490.569230741177,2.2382077196844885,1855.679949519096,2.5857276927789004,130.001,7,0.001
3.1815198680323644,1939.28420832728,4.098448535161952,2.406067885644284,1539.307874631805,2.7522260680158723,1948.8563484461763,3.4189506295409355,160.001,8,0.001
2.070356255541558,1231.3680657153234,4.6521545310433154,3.085992998689989,1320.0045327206117,4.815495985604529,1293.7315531614795,4.989277363944701,540.001,9,0.001
2.7099592417668306,1499.6900332935254,2.0581961374050564,2.5679283612679797,1744.2672220604322,2.6515419134068843,1253.8512684106906,4.898072775289298,430.001,10,0.001
2.387580582202823,2020.3290017582733,4.444432506622336,3.117499551456464,1520.649718104968,3.934151029562029,2193.3713765889547,3.902921661784423,190.001,11,0.001
2.1864296364165,1622.842284276197,2.584801148942999,2.36809710851744,1743.762917089476,3.9677269623218714,1546.2878067205766,4.277072751826399,450.001,12,0.001
3.178297325657112,1088.7871358136697,3.851246569062224,2.3521043077022235,1264.2904217262956,3.585879584276965,1082.997065995651,3.054047646394418,540.001,1,0.005
